epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4626,0.8549,0.06091,0.09815,0.12576,0.34636
1,test,0.1860,0.9401,0.06619,0.09945,0.12930,0.37249
2,train,0.1687,0.9469,0.06604,0.09692,0.12740,0.35720
2,test,0.1364,0.9555,0.06626,0.09171,0.12015,0.33352
3,train,0.1278,0.9591,0.06713,0.09374,0.12225,0.33905
3,test,0.1365,0.9568,0.06832,0.09217,0.12306,0.32902
4,train,0.1084,0.9658,0.06864,0.09057,0.12079,0.32722
4,test,0.1230,0.9590,0.06986,0.08963,0.11615,0.29838
5,train,0.0933,0.9700,0.06978,0.08974,0.11910,0.31503
5,test,0.1234,0.9615,0.07012,0.08445,0.11513,0.30872
6,train,0.0828,0.9728,0.06959,0.08791,0.11619,0.30517
6,test,0.1161,0.9614,0.06959,0.08791,0.11784,0.30753
7,train,0.0711,0.9766,0.06959,0.08674,0.11543,0.30685
7,test,0.1004,0.9693,0.07092,0.08454,0.11531,0.30198
8,train,0.0691,0.9774,0.07065,0.08589,0.11357,0.29552
8,test,0.1033,0.9672,0.07000,0.08966,0.11083,0.28393
9,train,0.0577,0.9808,0.07048,0.08695,0.11329,0.29735
9,test,0.0988,0.9698,0.07062,0.08531,0.11304,0.29289
10,train,0.0545,0.9824,0.07114,0.08512,0.11348,0.29270
10,test,0.0978,0.9685,0.07118,0.08516,0.11341,0.28539
