epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.0644,0.3125,0.04576,0.06578,0.07515,0.09698
1,test,1.3951,0.4924,0.05244,0.07493,0.08659,0.12654
2,train,1.2027,0.5566,0.04438,0.06533,0.08021,0.14480
2,test,1.0648,0.5455,0.05377,0.08293,0.10422,0.18739
3,train,0.8925,0.6328,0.04528,0.07093,0.09079,0.18982
3,test,0.9443,0.6098,0.05521,0.08915,0.11123,0.21519
4,train,0.7320,0.6758,0.04597,0.07412,0.09326,0.20546
4,test,0.8441,0.6591,0.05577,0.09138,0.11115,0.22255
5,train,0.6140,0.7373,0.04642,0.07527,0.09239,0.20791
5,test,0.8909,0.6136,0.05622,0.09237,0.11041,0.22180
6,train,0.5435,0.7715,0.04699,0.07721,0.09390,0.21272
6,test,0.8843,0.6098,0.05706,0.09606,0.11305,0.22979
7,train,0.4742,0.8076,0.04754,0.08005,0.09666,0.21912
7,test,0.8404,0.6326,0.05767,0.10059,0.11845,0.23474
8,train,0.4399,0.8115,0.04827,0.08431,0.10250,0.23122
8,test,0.8801,0.6402,0.05847,0.10412,0.12347,0.24224
9,train,0.3848,0.8330,0.04861,0.08577,0.10381,0.23246
9,test,0.8953,0.6326,0.05891,0.10507,0.12248,0.24200
10,train,0.3327,0.8662,0.04889,0.08670,0.10355,0.22997
10,test,0.8753,0.6591,0.05931,0.10627,0.12328,0.24257
11,train,0.2911,0.9043,0.04921,0.08792,0.10599,0.23921
11,test,0.8969,0.6439,0.05972,0.10767,0.12735,0.25350
12,train,0.2523,0.9160,0.04970,0.08974,0.10974,0.24720
12,test,0.9391,0.6364,0.06026,0.11059,0.13167,0.26332
13,train,0.2207,0.9326,0.05024,0.09226,0.11285,0.25785
13,test,0.9769,0.6591,0.06019,0.11150,0.13217,0.26493
14,train,0.1914,0.9492,0.05017,0.09263,0.11316,0.25461
14,test,0.9982,0.6742,0.06018,0.11223,0.13287,0.26457
15,train,0.1637,0.9629,0.05037,0.09354,0.11540,0.25733
15,test,1.0600,0.6667,0.06079,0.11313,0.13595,0.26974
16,train,0.1339,0.9814,0.05065,0.09379,0.11626,0.26173
16,test,1.1296,0.6174,0.06142,0.11494,0.13652,0.27645
17,train,0.1191,0.9775,0.05103,0.09550,0.11745,0.26634
17,test,1.0937,0.6553,0.06164,0.11632,0.13822,0.27825
18,train,0.1022,0.9844,0.05138,0.09613,0.11867,0.26551
18,test,1.0816,0.6629,0.06191,0.11581,0.13950,0.27628
19,train,0.0898,0.9844,0.05105,0.09531,0.11922,0.26924
19,test,1.1225,0.6477,0.06169,0.11572,0.13886,0.27910
20,train,0.0711,0.9961,0.05108,0.09567,0.11796,0.26776
20,test,1.1243,0.6629,0.06158,0.11572,0.13719,0.27902
21,train,0.0501,1.0000,0.05101,0.09591,0.11872,0.27432
21,test,1.1371,0.6667,0.06187,0.11684,0.14082,0.28975
22,train,0.0429,0.9961,0.05160,0.09787,0.12290,0.28341
22,test,1.2075,0.6515,0.06210,0.11870,0.14433,0.29648
23,train,0.0367,0.9980,0.05209,0.09885,0.12406,0.28122
23,test,1.2416,0.6667,0.06209,0.11872,0.14395,0.29043
24,train,0.0318,1.0000,0.05196,0.09890,0.12477,0.28031
24,test,1.2285,0.6591,0.06250,0.11955,0.14646,0.29362
25,train,0.0253,0.9990,0.05175,0.09877,0.12540,0.28175
25,test,1.3137,0.6553,0.06276,0.12043,0.14702,0.29543
26,train,0.0214,1.0000,0.05180,0.09924,0.12561,0.28217
26,test,1.2942,0.6515,0.06288,0.12084,0.14728,0.29567
27,train,0.0192,1.0000,0.05249,0.10019,0.12747,0.28610
27,test,1.2928,0.6402,0.06305,0.12116,0.14946,0.30053
28,train,0.0186,1.0000,0.05225,0.10002,0.12848,0.28747
28,test,1.3222,0.6591,0.06309,0.12135,0.15037,0.30167
29,train,0.0171,1.0000,0.05235,0.10046,0.12892,0.28839
29,test,1.3352,0.6591,0.06298,0.12181,0.14990,0.30141
30,train,0.0148,1.0000,0.05228,0.10087,0.12898,0.28725
30,test,1.2774,0.6515,0.06303,0.12210,0.15056,0.29911
