epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.1071,0.2490,0.05457,0.07468,0.07860,0.09505
1,test,1.5656,0.4129,0.06533,0.09622,0.10757,0.16984
2,train,1.3032,0.5371,0.05351,0.08011,0.10326,0.20954
2,test,1.0818,0.5606,0.06635,0.10918,0.14972,0.29757
3,train,0.9921,0.6270,0.05422,0.08724,0.12217,0.27451
3,test,0.9791,0.5833,0.06721,0.11122,0.15113,0.30151
4,train,0.8307,0.6572,0.05460,0.08875,0.12408,0.28742
4,test,0.8560,0.6288,0.06749,0.11404,0.15482,0.31587
5,train,0.7030,0.6846,0.05500,0.09119,0.12520,0.29465
5,test,0.8998,0.6326,0.06794,0.11804,0.15717,0.31576
6,train,0.6415,0.7109,0.05556,0.09504,0.12921,0.30626
6,test,0.8682,0.6061,0.06815,0.12142,0.15954,0.32328
7,train,0.5635,0.7461,0.05569,0.09685,0.13113,0.31120
7,test,0.8528,0.6288,0.06870,0.12404,0.16309,0.32471
8,train,0.5189,0.7744,0.05612,0.09985,0.13441,0.31131
8,test,0.8744,0.6364,0.06915,0.12772,0.16670,0.32384
9,train,0.4620,0.8066,0.05787,0.10311,0.13698,0.31135
9,test,0.9284,0.6326,0.07213,0.13213,0.17004,0.32804
10,train,0.4032,0.8662,0.05832,0.10490,0.13993,0.31441
10,test,0.9295,0.6098,0.07212,0.13294,0.17183,0.33012
11,train,0.3703,0.8643,0.05765,0.10512,0.14120,0.31786
11,test,0.8831,0.6402,0.06951,0.13150,0.17099,0.32941
12,train,0.3268,0.8867,0.05780,0.10646,0.14183,0.31987
12,test,0.9459,0.6288,0.07222,0.13508,0.17538,0.33878
13,train,0.3128,0.8867,0.05898,0.10894,0.14662,0.32922
13,test,0.9522,0.6326,0.07239,0.13461,0.17427,0.33562
14,train,0.2717,0.9121,0.05908,0.10804,0.14335,0.32366
14,test,0.9631,0.6212,0.07255,0.13487,0.17208,0.33447
15,train,0.2319,0.9482,0.05936,0.10916,0.14471,0.33157
15,test,1.0035,0.6477,0.07293,0.13736,0.17674,0.34835
16,train,0.2041,0.9531,0.05929,0.10998,0.14673,0.33548
16,test,1.0031,0.6477,0.07282,0.13776,0.17746,0.34361
17,train,0.1880,0.9521,0.05961,0.11070,0.14796,0.33386
17,test,1.0616,0.6250,0.07285,0.13865,0.17804,0.34081
18,train,0.1664,0.9688,0.05892,0.11119,0.14781,0.33354
18,test,1.0043,0.6326,0.07055,0.13796,0.17788,0.34471
19,train,0.1352,0.9756,0.05806,0.11044,0.14669,0.33503
19,test,1.0587,0.6364,0.07050,0.13801,0.17818,0.34843
20,train,0.1138,0.9863,0.05794,0.11141,0.14922,0.33939
20,test,1.0809,0.6288,0.07305,0.14103,0.18049,0.35251
21,train,0.0930,0.9932,0.05888,0.11261,0.15145,0.34416
21,test,1.0618,0.6136,0.07048,0.13955,0.18244,0.35389
22,train,0.0807,0.9951,0.05933,0.11408,0.15217,0.34475
22,test,1.1072,0.6364,0.07307,0.14294,0.18243,0.35379
23,train,0.0640,0.9980,0.05941,0.11520,0.15477,0.34737
23,test,1.1222,0.6402,0.07069,0.14161,0.18756,0.36176
24,train,0.0560,0.9980,0.05821,0.11431,0.15557,0.35156
24,test,1.1613,0.6250,0.07310,0.14299,0.18227,0.35675
25,train,0.0477,1.0000,0.05792,0.11330,0.15306,0.34674
25,test,1.1995,0.6439,0.07068,0.14116,0.18569,0.36105
26,train,0.0408,0.9990,0.05888,0.11569,0.15574,0.35092
26,test,1.1510,0.6402,0.07315,0.14435,0.18569,0.35644
27,train,0.0363,0.9990,0.05889,0.11582,0.15649,0.35033
27,test,1.2911,0.6364,0.07083,0.14210,0.18711,0.36226
28,train,0.0365,0.9990,0.05804,0.11524,0.15786,0.35552
28,test,1.2738,0.6477,0.07074,0.14339,0.18824,0.36613
29,train,0.0313,1.0000,0.05915,0.11612,0.15839,0.35582
29,test,1.2610,0.6439,0.07328,0.14452,0.18864,0.36449
30,train,0.0270,1.0000,0.05968,0.11630,0.15763,0.35209
30,test,1.2079,0.6326,0.07327,0.14306,0.18634,0.35906
