epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,1.9739,0.3213,0.12412,0.07903,0.09041,0.13837
1,test,1.3413,0.5303,0.15927,0.10692,0.13100,0.23494
2,train,1.1913,0.5693,0.12538,0.08906,0.11981,0.26007
2,test,1.0214,0.5985,0.16040,0.11616,0.16394,0.34653
3,train,0.9431,0.6123,0.12666,0.09366,0.13721,0.32906
3,test,0.9134,0.6061,0.16317,0.11660,0.17014,0.36171
4,train,0.7696,0.6719,0.12772,0.09262,0.14025,0.33845
4,test,0.8650,0.6136,0.16110,0.11165,0.16822,0.35825
5,train,0.6698,0.7158,0.12819,0.09072,0.13988,0.34083
5,test,0.8666,0.6136,0.16411,0.11139,0.17118,0.36697
6,train,0.5872,0.7568,0.12946,0.09170,0.14406,0.35745
6,test,0.8491,0.6174,0.16437,0.11527,0.17703,0.38444
7,train,0.5260,0.7715,0.12882,0.09424,0.14684,0.36369
7,test,0.8947,0.6023,0.16270,0.11850,0.18067,0.38484
8,train,0.4612,0.8174,0.12808,0.09630,0.14867,0.36284
8,test,0.8610,0.6364,0.16302,0.11897,0.18173,0.38092
9,train,0.4138,0.8428,0.12950,0.09698,0.15057,0.36447
9,test,0.8589,0.6553,0.16344,0.11891,0.18228,0.38197
10,train,0.3776,0.8604,0.12995,0.09726,0.15110,0.36636
10,test,0.8412,0.6591,0.16599,0.12028,0.18461,0.38702
11,train,0.3301,0.8848,0.13046,0.09870,0.15373,0.36908
11,test,0.8464,0.6250,0.16619,0.12137,0.18646,0.38131
12,train,0.2959,0.9043,0.13172,0.10063,0.15841,0.37553
12,test,0.8455,0.6439,0.16687,0.12357,0.19216,0.39554
13,train,0.2676,0.9189,0.13181,0.10119,0.15893,0.37543
13,test,0.9384,0.6174,0.16724,0.12431,0.19202,0.38663
14,train,0.2433,0.9316,0.13168,0.10129,0.15815,0.37458
14,test,0.8745,0.6705,0.16716,0.12473,0.19124,0.39812
15,train,0.2107,0.9434,0.13183,0.10246,0.15863,0.37915
15,test,0.8764,0.6477,0.16731,0.12587,0.18983,0.39048
16,train,0.1812,0.9590,0.13159,0.10278,0.15861,0.37463
16,test,0.9126,0.6439,0.16750,0.12668,0.19215,0.38872
17,train,0.1670,0.9561,0.13195,0.10368,0.15989,0.37339
17,test,0.8909,0.6629,0.16759,0.12750,0.19198,0.38654
18,train,0.1585,0.9473,0.13250,0.10387,0.15924,0.37278
18,test,1.0133,0.6364,0.16778,0.12692,0.19007,0.38240
19,train,0.1455,0.9609,0.13121,0.10316,0.15730,0.37023
19,test,0.9495,0.6402,0.16809,0.12591,0.18995,0.38992
20,train,0.1188,0.9756,0.13253,0.10471,0.15974,0.37879
20,test,0.9555,0.6477,0.16828,0.12775,0.19152,0.39632
21,train,0.0996,0.9863,0.13261,0.10622,0.16224,0.38829
21,test,0.9247,0.6742,0.16828,0.13014,0.19365,0.40097
22,train,0.0814,0.9893,0.13185,0.10622,0.16012,0.38434
22,test,0.9957,0.6591,0.16846,0.12991,0.19112,0.39503
23,train,0.0638,0.9961,0.13325,0.10739,0.16151,0.38368
23,test,0.9573,0.6629,0.16887,0.13039,0.19404,0.39531
24,train,0.0557,0.9951,0.13377,0.10881,0.16601,0.39169
24,test,1.0100,0.6780,0.16905,0.13232,0.19919,0.40610
25,train,0.0467,0.9971,0.13294,0.10850,0.16633,0.39154
25,test,0.9817,0.6515,0.16906,0.13193,0.19852,0.39838
26,train,0.0401,0.9990,0.13368,0.10970,0.16881,0.39235
26,test,1.0169,0.6591,0.16917,0.13211,0.19989,0.39969
27,train,0.0336,1.0000,0.13378,0.10935,0.16868,0.39425
27,test,1.0200,0.6288,0.17167,0.13241,0.20024,0.40304
28,train,0.0286,1.0000,0.13406,0.10890,0.16819,0.39526
28,test,1.0207,0.6629,0.16911,0.13206,0.20012,0.40158
29,train,0.0240,1.0000,0.13455,0.11000,0.17095,0.39797
29,test,1.0860,0.6288,0.17157,0.13368,0.20399,0.40394
30,train,0.0213,1.0000,0.13378,0.10932,0.17129,0.39692
30,test,1.0114,0.6856,0.16910,0.13300,0.20371,0.40729
