epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.0643,0.3125,0.04576,0.06578,0.07515,0.09697
1,test,1.3856,0.5076,0.05245,0.07495,0.08656,0.12672
2,train,1.1945,0.5674,0.04440,0.06531,0.08019,0.14451
2,test,1.0655,0.5417,0.05408,0.08292,0.10439,0.18853
3,train,0.9057,0.6211,0.04555,0.07087,0.09106,0.19019
3,test,0.9440,0.6174,0.05530,0.08917,0.11149,0.21643
4,train,0.7363,0.6836,0.04602,0.07385,0.09251,0.20413
4,test,0.8299,0.6477,0.05582,0.09070,0.10961,0.21942
5,train,0.6180,0.7217,0.04640,0.07477,0.09138,0.20577
5,test,0.9020,0.6061,0.05614,0.09179,0.10976,0.22116
6,train,0.5425,0.7822,0.04695,0.07685,0.09314,0.21137
6,test,0.8762,0.6250,0.05706,0.09584,0.11281,0.22876
7,train,0.4732,0.8047,0.04727,0.07948,0.09620,0.21835
7,test,0.8342,0.6515,0.05724,0.09908,0.11724,0.23258
8,train,0.4290,0.8311,0.04791,0.08274,0.10152,0.22689
8,test,0.8768,0.6515,0.05791,0.10207,0.12368,0.23888
9,train,0.3776,0.8438,0.04840,0.08471,0.10494,0.23114
9,test,0.8974,0.6136,0.05902,0.10531,0.12566,0.24459
10,train,0.3448,0.8535,0.04887,0.08729,0.10629,0.23172
10,test,0.9005,0.6515,0.05935,0.10722,0.12659,0.24135
11,train,0.2981,0.8945,0.04886,0.08801,0.10725,0.23185
11,test,0.9045,0.6515,0.05916,0.10735,0.12796,0.24374
12,train,0.2647,0.8887,0.04910,0.08867,0.10921,0.23712
12,test,0.9410,0.6212,0.05969,0.10829,0.13043,0.25327
13,train,0.2377,0.9121,0.04981,0.09045,0.11158,0.24707
13,test,1.0137,0.6326,0.05988,0.11019,0.13128,0.25459
14,train,0.2113,0.9365,0.05005,0.09180,0.11257,0.24517
14,test,1.0543,0.6439,0.06007,0.11161,0.13238,0.25422
15,train,0.1742,0.9551,0.05025,0.09265,0.11478,0.24746
15,test,1.1033,0.6326,0.06048,0.11238,0.13735,0.26468
16,train,0.1567,0.9473,0.05036,0.09294,0.11723,0.25324
16,test,1.1253,0.6326,0.06079,0.11333,0.13782,0.26243
17,train,0.1506,0.9453,0.05056,0.09395,0.11689,0.25176
17,test,1.1367,0.6591,0.06092,0.11373,0.13563,0.25850
18,train,0.1202,0.9834,0.05077,0.09386,0.11564,0.24689
18,test,1.1139,0.6439,0.06117,0.11385,0.13731,0.26237
19,train,0.0986,0.9863,0.05073,0.09429,0.11860,0.26016
19,test,1.1274,0.6439,0.06103,0.11515,0.13991,0.27129
20,train,0.0901,0.9814,0.05070,0.09508,0.11894,0.26228
20,test,1.1301,0.6629,0.06113,0.11513,0.13937,0.27161
21,train,0.0724,0.9863,0.05074,0.09528,0.12003,0.26225
21,test,1.1136,0.6780,0.06122,0.11600,0.14113,0.27011
22,train,0.0574,0.9980,0.05121,0.09692,0.12236,0.26820
22,test,1.1526,0.6667,0.06179,0.11746,0.14310,0.28013
23,train,0.0431,0.9990,0.05163,0.09785,0.12338,0.27074
23,test,1.2160,0.6629,0.06179,0.11810,0.14406,0.28392
24,train,0.0413,0.9980,0.05152,0.09830,0.12521,0.27562
24,test,1.2097,0.6629,0.06192,0.11903,0.14881,0.28739
25,train,0.0341,0.9990,0.05142,0.09837,0.12783,0.27879
25,test,1.2853,0.6439,0.06227,0.11997,0.15036,0.29010
26,train,0.0287,1.0000,0.05155,0.09890,0.12799,0.27736
26,test,1.2560,0.6402,0.06227,0.12045,0.14923,0.28433
27,train,0.0262,1.0000,0.05195,0.09990,0.12841,0.27608
27,test,1.2802,0.6515,0.06249,0.12087,0.14992,0.28703
28,train,0.0239,1.0000,0.05182,0.09972,0.12867,0.27809
28,test,1.2950,0.6515,0.06249,0.12087,0.15009,0.28598
29,train,0.0195,1.0000,0.05198,0.09995,0.12851,0.27716
29,test,1.3329,0.6439,0.06285,0.12172,0.14951,0.28782
30,train,0.0165,1.0000,0.05240,0.10094,0.12837,0.27797
30,test,1.3333,0.6515,0.06302,0.12214,0.14995,0.28826
