epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.0309,0.2861,0.10743,0.06616,0.07789,0.11880
1,test,1.2706,0.4848,0.13373,0.08068,0.09827,0.16726
2,train,1.1091,0.5889,0.10655,0.06838,0.09159,0.18422
2,test,1.0122,0.5720,0.13467,0.08647,0.12135,0.25238
3,train,0.8937,0.6416,0.10652,0.07044,0.10314,0.23729
3,test,0.9020,0.6061,0.13522,0.08721,0.12572,0.26473
4,train,0.7116,0.6807,0.10840,0.07112,0.10468,0.24421
4,test,0.8455,0.6061,0.13543,0.08592,0.12363,0.26046
5,train,0.6082,0.7412,0.10820,0.07077,0.10434,0.24068
5,test,0.8421,0.6591,0.13640,0.08709,0.12590,0.26565
6,train,0.5264,0.7812,0.10878,0.07267,0.10810,0.25296
6,test,0.8771,0.6250,0.13726,0.09090,0.13292,0.28580
7,train,0.4803,0.7949,0.10975,0.07441,0.11111,0.26838
7,test,0.9334,0.6364,0.13795,0.09138,0.13260,0.29287
8,train,0.4248,0.8174,0.10922,0.07489,0.11053,0.26601
8,test,0.8603,0.6477,0.13731,0.09312,0.13396,0.28581
9,train,0.3542,0.8496,0.10974,0.07736,0.11369,0.26879
9,test,0.8103,0.6932,0.13786,0.09464,0.13503,0.28665
10,train,0.3229,0.8799,0.10980,0.07873,0.11460,0.26931
10,test,0.8299,0.6970,0.13883,0.09652,0.13694,0.28889
11,train,0.2820,0.9053,0.11031,0.08002,0.11741,0.27450
11,test,0.8801,0.6818,0.13947,0.09904,0.14121,0.29537
12,train,0.2531,0.9102,0.11166,0.08235,0.12005,0.28122
12,test,0.9696,0.6629,0.14009,0.10143,0.14191,0.29969
13,train,0.2323,0.9219,0.11109,0.08226,0.11827,0.27483
13,test,0.9636,0.6515,0.13965,0.09933,0.13798,0.29147
14,train,0.1990,0.9443,0.11109,0.08254,0.11836,0.27920
14,test,0.8794,0.6591,0.13994,0.10102,0.14222,0.30523
15,train,0.1614,0.9580,0.11183,0.08460,0.12258,0.29248
15,test,0.9576,0.6515,0.14093,0.10385,0.14655,0.31221
16,train,0.1382,0.9707,0.11122,0.08443,0.12328,0.29337
16,test,0.9978,0.6705,0.14044,0.10267,0.14532,0.31003
17,train,0.1162,0.9727,0.11158,0.08489,0.12454,0.29589
17,test,0.9333,0.6780,0.14073,0.10341,0.14729,0.30858
18,train,0.1066,0.9746,0.11202,0.08541,0.12542,0.29752
18,test,1.0015,0.6553,0.14132,0.10310,0.14616,0.30297
19,train,0.0924,0.9863,0.11141,0.08467,0.12435,0.29199
19,test,0.9914,0.6894,0.14129,0.10418,0.14794,0.30689
20,train,0.0944,0.9775,0.11244,0.08648,0.12611,0.29737
20,test,0.9293,0.6818,0.14186,0.10453,0.14598,0.31255
21,train,0.0719,0.9883,0.11295,0.08663,0.12432,0.29826
21,test,0.9555,0.6894,0.14177,0.10518,0.14597,0.31207
22,train,0.0556,0.9922,0.11192,0.08719,0.12554,0.30309
22,test,0.9963,0.6856,0.14217,0.10698,0.14955,0.32182
23,train,0.0440,0.9961,0.11348,0.08903,0.12865,0.30906
23,test,1.0274,0.6705,0.14249,0.10801,0.15182,0.32380
24,train,0.0353,1.0000,0.11379,0.08981,0.13074,0.31374
24,test,1.0615,0.6705,0.14265,0.10895,0.15438,0.32687
25,train,0.0291,1.0000,0.11321,0.09000,0.13177,0.31691
25,test,1.0368,0.6780,0.14276,0.10921,0.15452,0.32706
26,train,0.0255,1.0000,0.11381,0.09062,0.13206,0.31522
26,test,1.1038,0.6629,0.14280,0.10939,0.15429,0.32498
27,train,0.0223,1.0000,0.11373,0.09055,0.13209,0.31407
27,test,1.1039,0.6553,0.14308,0.10974,0.15555,0.32795
28,train,0.0186,1.0000,0.11419,0.09097,0.13360,0.31925
28,test,1.0965,0.6780,0.14400,0.11081,0.15771,0.33513
29,train,0.0162,1.0000,0.11541,0.09185,0.13516,0.32200
29,test,1.0947,0.6667,0.14386,0.11089,0.15765,0.33197
30,train,0.0137,1.0000,0.11461,0.09184,0.13501,0.32141
30,test,1.1597,0.6667,0.14367,0.11173,0.15870,0.33362
