epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4200,0.8697,0.05807,0.09360,0.12318,0.33224
1,test,0.1771,0.9425,0.06352,0.09172,0.12100,0.33984
2,train,0.1543,0.9511,0.06389,0.09128,0.11999,0.34842
2,test,0.1252,0.9587,0.06468,0.08942,0.11699,0.34748
3,train,0.1159,0.9635,0.06585,0.08794,0.11690,0.33941
3,test,0.1175,0.9622,0.06636,0.08578,0.11428,0.32320
4,train,0.0977,0.9682,0.06633,0.08554,0.11293,0.33145
4,test,0.1210,0.9605,0.06722,0.08517,0.11226,0.32771
5,train,0.0813,0.9737,0.06735,0.08315,0.11361,0.33142
5,test,0.0997,0.9697,0.06763,0.08220,0.11072,0.31278
6,train,0.0710,0.9764,0.06750,0.08145,0.10956,0.31862
6,test,0.1201,0.9635,0.06832,0.08051,0.11182,0.32491
7,train,0.0603,0.9799,0.06778,0.08047,0.10801,0.31938
7,test,0.1031,0.9680,0.06873,0.07834,0.10524,0.32227
8,train,0.0550,0.9818,0.06783,0.08057,0.10830,0.32513
8,test,0.1277,0.9619,0.06849,0.08106,0.10651,0.31206
9,train,0.0490,0.9836,0.06821,0.08185,0.10941,0.31861
9,test,0.1086,0.9684,0.06967,0.08064,0.10897,0.31208
10,train,0.0479,0.9838,0.06837,0.08173,0.10943,0.31315
10,test,0.1119,0.9681,0.06785,0.07593,0.10495,0.30148
