epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.3700,0.8865,0.05396,0.08941,0.12046,0.32564
1,test,0.1512,0.9507,0.05809,0.09206,0.11925,0.34112
2,train,0.1282,0.9600,0.05789,0.08778,0.11460,0.32647
2,test,0.0991,0.9663,0.05817,0.08843,0.11327,0.32701
3,train,0.0950,0.9706,0.05921,0.08676,0.11053,0.32229
3,test,0.0977,0.9694,0.06224,0.08526,0.11054,0.30678
4,train,0.0787,0.9755,0.06073,0.08289,0.10848,0.30740
4,test,0.0824,0.9732,0.06147,0.08333,0.10708,0.30180
5,train,0.0650,0.9791,0.06112,0.08310,0.10796,0.31124
5,test,0.0796,0.9761,0.06167,0.08266,0.10353,0.29917
6,train,0.0555,0.9816,0.06181,0.08415,0.10611,0.30711
6,test,0.0768,0.9755,0.06317,0.08249,0.10484,0.30199
7,train,0.0539,0.9821,0.06134,0.08219,0.10326,0.30063
7,test,0.0793,0.9754,0.06225,0.07929,0.09729,0.28115
8,train,0.0443,0.9857,0.06186,0.08274,0.10223,0.29917
8,test,0.0881,0.9723,0.06317,0.08335,0.10150,0.30173
9,train,0.0376,0.9873,0.06204,0.08179,0.10049,0.30158
9,test,0.0803,0.9748,0.06241,0.08231,0.09915,0.29358
10,train,0.0344,0.9883,0.06254,0.08253,0.10140,0.30147
10,test,0.0743,0.9785,0.06441,0.08160,0.10017,0.30339
