density,input_rate,spikes_per_sample,c1_output_rate,engine,cycles_total_mean,cycles_engine_mean,check
0.005,0.0044,41.0,0.0021,dense,436247.0,388420.0,PASS
0.005,0.0044,41.0,0.0021,ed_k1,121880.3125,77096.375,PASS
0.005,0.0044,41.0,0.0021,ed_k4,121819.0,74915.375,PASS
0.01,0.009,83.0,0.0057,dense,436247.0,388420.0,PASS
0.01,0.009,83.0,0.0057,ed_k1,122057.25,80335.625,PASS
0.01,0.009,83.0,0.0057,ed_k4,121819.0,75883.625,PASS
0.02,0.0177,164.0,0.0149,dense,436247.0,388420.0,PASS
0.02,0.0177,164.0,0.0149,ed_k1,125560.125,86654.0,PASS
0.02,0.0177,164.0,0.0149,ed_k4,121820.5,77766.5,PASS
0.05,0.0442,409.0,0.0478,dense,436247.0,388420.0,PASS
0.05,0.0442,409.0,0.0478,ed_k1,144167.5,105626.8125,PASS
0.05,0.0442,409.0,0.0478,ed_k4,122542.8125,83426.8125,PASS
0.1,0.0882,816.0,0.093,dense,436247.0,388420.0,PASS
0.1,0.0882,816.0,0.093,ed_k1,175436.75,136956.0,PASS
0.1,0.0882,816.0,0.093,ed_k4,131275.9375,92787.0,PASS
0.2,0.1769,1636.0,0.1509,dense,436247.0,388420.0,PASS
0.2,0.1769,1636.0,0.1509,ed_k1,238817.3125,200360.3125,PASS
0.2,0.1769,1636.0,0.1509,ed_k4,150171.1875,111713.3125,PASS
0.3,0.2662,2462.0,0.1839,dense,436247.0,388420.0,PASS
0.3,0.2662,2462.0,0.1839,ed_k1,302462.875,264011.25,PASS
0.3,0.2662,2462.0,0.1839,ed_k4,169175.875,130724.25,PASS
0.5,0.443,4097.0,0.2179,dense,436247.0,388420.0,PASS
0.5,0.443,4097.0,0.2179,ed_k1,428079.5,389633.3125,PASS
0.5,0.443,4097.0,0.2179,ed_k4,206706.5,168260.3125,PASS
0.7,0.6205,5739.0,0.2333,dense,436247.0,388420.0,PASS
0.7,0.6205,5739.0,0.2333,ed_k1,554363.75,515919.75,PASS
0.7,0.6205,5739.0,0.2333,ed_k4,244432.25,205988.25,PASS
1.0,0.8858,8192.0,0.2435,dense,436247.0,388420.0,PASS
1.0,0.8858,8192.0,0.2435,ed_k1,743211.0,704768.0,PASS
1.0,0.8858,8192.0,0.2435,ed_k4,300843.0,262400.0,PASS
