epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4323,0.8646,0.08143,0.08157,0.08250,0.31516
1,test,0.1870,0.9401,0.08131,0.08137,0.08069,0.33802
2,train,0.1554,0.9510,0.08077,0.08070,0.08052,0.34019
2,test,0.1302,0.9581,0.08139,0.07920,0.07984,0.32218
3,train,0.1114,0.9647,0.08068,0.08043,0.08012,0.33145
3,test,0.1259,0.9606,0.08105,0.08006,0.07952,0.32628
4,train,0.0915,0.9704,0.08044,0.08018,0.08013,0.32596
4,test,0.1073,0.9647,0.08154,0.08035,0.07895,0.32752
5,train,0.0784,0.9741,0.08036,0.08019,0.08020,0.32576
5,test,0.1075,0.9661,0.08047,0.07995,0.08160,0.32013
6,train,0.0685,0.9773,0.08030,0.08009,0.08009,0.31442
6,test,0.0951,0.9704,0.08056,0.08001,0.07793,0.29193
7,train,0.0576,0.9807,0.08008,0.07999,0.08008,0.31314
7,test,0.1130,0.9654,0.08079,0.08195,0.08031,0.30379
8,train,0.0526,0.9829,0.08026,0.07997,0.08015,0.30519
8,test,0.1022,0.9678,0.08049,0.07877,0.08154,0.31120
9,train,0.0475,0.9842,0.08031,0.07999,0.08006,0.30087
9,test,0.1057,0.9684,0.08045,0.08104,0.07978,0.28788
10,train,0.0421,0.9857,0.08031,0.07992,0.08002,0.29954
10,test,0.0961,0.9727,0.07977,0.08037,0.08010,0.28672
