epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.1585,0.2373,0.06245,0.05703,0.05361,0.08208
1,test,1.7809,0.3826,0.07516,0.05378,0.04891,0.10285
2,train,1.6448,0.4385,0.05630,0.03892,0.03973,0.11258
2,test,1.3649,0.5114,0.06822,0.04498,0.05713,0.19520
3,train,1.2372,0.5508,0.05275,0.03398,0.04640,0.18713
3,test,1.0957,0.5985,0.06467,0.04187,0.06028,0.24568
4,train,1.0390,0.6025,0.04995,0.03203,0.04659,0.21817
4,test,1.0450,0.5341,0.06174,0.04030,0.05817,0.26432
5,train,0.9115,0.6289,0.04594,0.03071,0.04416,0.23074
5,test,0.9509,0.5833,0.05636,0.04036,0.05617,0.27674
6,train,0.8251,0.6621,0.04269,0.03003,0.04262,0.24564
6,test,0.9158,0.6061,0.05190,0.03579,0.05042,0.27787
7,train,0.7666,0.6777,0.03986,0.02800,0.03905,0.23511
7,test,0.8788,0.6061,0.05050,0.03632,0.04914,0.26848
8,train,0.6960,0.7051,0.03763,0.02860,0.03934,0.24508
8,test,0.8701,0.6288,0.04474,0.03692,0.04856,0.27637
9,train,0.6373,0.7256,0.03468,0.02763,0.03725,0.24500
9,test,0.8767,0.6174,0.04409,0.03539,0.04651,0.28089
10,train,0.5802,0.7344,0.03476,0.02890,0.03858,0.26116
10,test,0.8674,0.6326,0.04375,0.03563,0.04534,0.28211
11,train,0.5434,0.7627,0.03444,0.02851,0.03659,0.25573
11,test,0.8595,0.6136,0.04342,0.03557,0.04390,0.27870
12,train,0.5072,0.7803,0.03362,0.02790,0.03459,0.24771
12,test,0.8678,0.6288,0.04089,0.03424,0.04136,0.27338
13,train,0.4474,0.8154,0.03258,0.02846,0.03562,0.26011
13,test,0.8861,0.6288,0.04068,0.03415,0.04060,0.27214
14,train,0.4245,0.8330,0.03236,0.02827,0.03447,0.25476
14,test,0.8872,0.6023,0.04032,0.03397,0.03936,0.26340
15,train,0.3957,0.8369,0.03197,0.02818,0.03373,0.25430
15,test,0.8976,0.6288,0.04011,0.03416,0.03944,0.27451
16,train,0.3678,0.8584,0.03180,0.02790,0.03325,0.25454
16,test,0.9556,0.6136,0.04036,0.03817,0.04500,0.31595
17,train,0.3143,0.8994,0.03179,0.02953,0.03504,0.27491
17,test,0.9449,0.6098,0.03937,0.03398,0.03620,0.25523
18,train,0.3014,0.8955,0.03151,0.02848,0.03175,0.25043
18,test,1.0094,0.6250,0.03996,0.03805,0.04200,0.30533
19,train,0.2825,0.9014,0.03159,0.02855,0.03218,0.26082
19,test,0.9497,0.6136,0.03957,0.03416,0.03641,0.26566
20,train,0.2610,0.9111,0.03138,0.02758,0.03101,0.25275
20,test,0.9801,0.5947,0.03942,0.03415,0.03698,0.27230
21,train,0.2334,0.9111,0.03129,0.02789,0.03129,0.25739
21,test,1.0689,0.6061,0.03966,0.03652,0.03832,0.28565
22,train,0.2090,0.9443,0.03126,0.02807,0.03094,0.25691
22,test,0.9789,0.6098,0.03909,0.03422,0.03629,0.27495
23,train,0.1837,0.9531,0.03107,0.02794,0.03110,0.26351
23,test,1.0140,0.6326,0.03920,0.03464,0.03700,0.28444
24,train,0.1487,0.9766,0.03017,0.02826,0.03163,0.27209
24,test,1.0983,0.5909,0.03652,0.03488,0.03694,0.29027
25,train,0.1375,0.9824,0.02934,0.02821,0.03130,0.27235
25,test,1.0509,0.6061,0.03654,0.03449,0.03640,0.28692
26,train,0.1234,0.9766,0.02919,0.02789,0.03096,0.27272
26,test,1.1314,0.6174,0.03620,0.03424,0.03604,0.29435
27,train,0.1103,0.9863,0.02908,0.02771,0.03053,0.27151
27,test,1.1462,0.6250,0.03607,0.03428,0.03584,0.29122
28,train,0.0968,0.9922,0.02804,0.02724,0.03061,0.27597
28,test,1.1951,0.5947,0.03350,0.03296,0.03574,0.29437
29,train,0.0980,0.9863,0.02713,0.02680,0.03002,0.27143
29,test,1.2593,0.5947,0.03317,0.03248,0.03408,0.28290
30,train,0.0680,0.9961,0.02708,0.02683,0.03003,0.27573
30,test,1.1817,0.6061,0.03352,0.03307,0.03485,0.29178
