epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,2.0328,0.3252,0.05024,0.08659,0.11072,0.13572
1,test,1.3100,0.4432,0.06620,0.13063,0.18330,0.20880
2,train,1.2193,0.5225,0.05915,0.12156,0.17154,0.22379
2,test,1.0712,0.5341,0.07800,0.16867,0.21327,0.25859
3,train,0.9446,0.6094,0.06711,0.14328,0.16814,0.23911
3,test,0.9876,0.5871,0.08845,0.18862,0.19055,0.25666
4,train,0.7893,0.6660,0.07574,0.15642,0.15508,0.23859
4,test,0.8930,0.6212,0.10054,0.20143,0.18812,0.26093
5,train,0.6753,0.7080,0.08518,0.16099,0.15679,0.24460
5,test,0.8594,0.6326,0.11155,0.20121,0.19290,0.26355
6,train,0.5952,0.7471,0.09403,0.16005,0.15863,0.24561
6,test,0.8595,0.6591,0.12238,0.19834,0.18989,0.26417
7,train,0.5447,0.7529,0.10192,0.15931,0.15787,0.24888
7,test,0.8577,0.6288,0.13399,0.20001,0.19577,0.27209
8,train,0.5009,0.7695,0.11019,0.15916,0.16138,0.25356
8,test,0.8164,0.6553,0.14120,0.19682,0.19517,0.27062
9,train,0.4665,0.7822,0.11523,0.15939,0.16216,0.25646
9,test,0.8230,0.6402,0.14953,0.20013,0.19279,0.27087
10,train,0.4241,0.8203,0.12154,0.16216,0.15896,0.25396
10,test,0.8662,0.6326,0.15638,0.20031,0.19175,0.26792
11,train,0.3843,0.8330,0.12586,0.15956,0.15933,0.25403
11,test,0.8903,0.6212,0.16097,0.19814,0.19604,0.27331
12,train,0.3589,0.8467,0.13040,0.16168,0.16383,0.26003
12,test,0.8841,0.6591,0.16703,0.20100,0.19337,0.27755
13,train,0.3334,0.8779,0.13514,0.16096,0.15885,0.26087
13,test,1.0055,0.6477,0.17181,0.19586,0.18856,0.27798
14,train,0.3074,0.8828,0.13895,0.15967,0.15859,0.26269
14,test,0.9716,0.6326,0.17739,0.20031,0.19217,0.28394
15,train,0.2945,0.8877,0.14238,0.16320,0.16427,0.27477
15,test,0.9127,0.6174,0.17887,0.20120,0.19321,0.29543
16,train,0.2385,0.9287,0.14198,0.16018,0.15838,0.27319
16,test,0.9743,0.6477,0.18037,0.19800,0.18806,0.29462
17,train,0.2359,0.9277,0.14353,0.15923,0.16033,0.27822
17,test,0.9636,0.6364,0.18343,0.19867,0.19444,0.29783
18,train,0.1956,0.9482,0.14687,0.16078,0.16027,0.27698
18,test,0.9618,0.6705,0.18592,0.19946,0.19042,0.29375
19,train,0.1792,0.9590,0.14724,0.15934,0.15916,0.27851
19,test,1.0369,0.6402,0.18699,0.19704,0.19400,0.29932
20,train,0.1645,0.9551,0.14886,0.15898,0.16194,0.28343
20,test,1.0295,0.6439,0.18855,0.19863,0.19019,0.29929
21,train,0.1578,0.9590,0.14906,0.16036,0.15843,0.28099
21,test,1.0252,0.6288,0.18851,0.20098,0.19269,0.30156
22,train,0.1524,0.9580,0.15005,0.16327,0.16298,0.28921
22,test,1.0991,0.6174,0.18883,0.19716,0.18874,0.29965
23,train,0.1388,0.9648,0.15089,0.15896,0.15720,0.28039
23,test,1.0893,0.6515,0.18882,0.19491,0.18899,0.30240
24,train,0.1148,0.9824,0.15053,0.15803,0.15952,0.28456
24,test,1.0714,0.6439,0.18982,0.19797,0.19496,0.30481
25,train,0.0860,0.9863,0.15034,0.16119,0.16224,0.28669
25,test,1.1034,0.6288,0.19121,0.20187,0.19180,0.30269
26,train,0.0696,0.9922,0.15090,0.16195,0.16036,0.28789
26,test,1.1663,0.6326,0.19231,0.20065,0.19295,0.31115
27,train,0.0697,0.9893,0.15288,0.16123,0.16108,0.29195
27,test,1.1684,0.6288,0.19396,0.19764,0.18770,0.30439
28,train,0.0711,0.9941,0.15239,0.15802,0.15866,0.28666
28,test,1.2029,0.6288,0.19399,0.19725,0.19151,0.30680
29,train,0.0689,0.9912,0.15270,0.15988,0.16105,0.28861
29,test,1.3181,0.6477,0.19398,0.20054,0.19073,0.30614
30,train,0.0575,0.9932,0.15335,0.16274,0.16004,0.29028
30,test,1.2739,0.6364,0.19382,0.19864,0.18848,0.30706
