epoch,split,loss,accuracy,c1,c2,c3,fc
1,train,0.4144,0.8683,0.04969,0.07399,0.09923,0.23349
1,test,0.1561,0.9517,0.05522,0.08026,0.10528,0.24733
2,train,0.1287,0.9597,0.05590,0.07766,0.09887,0.22483
2,test,0.1013,0.9670,0.05854,0.07931,0.09719,0.21425
3,train,0.0919,0.9718,0.05729,0.07603,0.09520,0.21201
3,test,0.0872,0.9713,0.05860,0.07408,0.09162,0.20040
4,train,0.0725,0.9764,0.05833,0.07401,0.09142,0.20471
4,test,0.0953,0.9711,0.05998,0.07434,0.08999,0.19711
5,train,0.0613,0.9802,0.05884,0.07353,0.09118,0.19974
5,test,0.0712,0.9767,0.05995,0.07262,0.08890,0.19542
6,train,0.0526,0.9829,0.05922,0.07258,0.08783,0.19323
6,test,0.0752,0.9757,0.06003,0.07267,0.08637,0.17629
7,train,0.0448,0.9851,0.05877,0.07118,0.08697,0.18710
7,test,0.0754,0.9768,0.05986,0.07142,0.08623,0.18742
8,train,0.0415,0.9861,0.05861,0.07069,0.08648,0.18671
8,test,0.0715,0.9773,0.05896,0.06481,0.08218,0.16714
9,train,0.0332,0.9889,0.05894,0.06991,0.08614,0.18386
9,test,0.0770,0.9776,0.05955,0.06900,0.08562,0.17724
10,train,0.0339,0.9888,0.05922,0.06932,0.08474,0.17951
10,test,0.0811,0.9759,0.06018,0.06651,0.08332,0.17783
